视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
62.755,普通弹幕,中,白,1559921275,0,9e95d063,17185689124208640,世界最安全的地方
72.221,普通弹幕,中,白,1559919259,0,2d7c889d,17184632134434820,脸打得很快
343.169,普通弹幕,中,黄,1559918971,0,1360adf5,17184481218658308,星川未有！！！
101.802,普通弹幕,中,白,1559918618,0,41bd0cb3,17184296184315904,空巢老黑
466.398,普通弹幕,中,白,1559918380,0,7fe60f6e,17184171431034884,。。
256.118,普通弹幕,中,白,1559918143,0,a9f79590,17184047101378564,黑子的声优声音很熟悉
251.343,普通弹幕,中,白,1559918128,0,a9f79590,17184039169425408,这个黑子的声优是谁？
571.192,普通弹幕,中,黄,1559917342,0,7909a94c,17183626807476224,这是百合番
682.966,普通弹幕,中,白,1559915677,0,8efbbb58,17182754336145408,不打针，不喝药
1155.834,普通弹幕,中,白,1559915456,0,89a5a2a3,17182638176993280,。。。
468.745,普通弹幕,中,白,1559914816,0,d3c2cda1,17182302807261184,摄影师差评
741.626,普通弹幕,中,白,1559914769,0,89a5a2a3,17182277860065280,。。。
884.182,普通弹幕,中,白,1559913748,0,4f3484e0,17181742757576708,两个人不已经是4个A了
1292.83,普通弹幕,中,白,1559913733,0,92b81860,17181734595985412,开炮！！！！！！！！
256.702,普通弹幕,中,白,1559913726,0,bcfe0331,17181731192832002,一方通行在里面吗
224.738,普通弹幕,中,白,1559913556,0,36e16dc5,17181641809068036,以前好像没翻译啊
160.775,普通弹幕,中,白,1559913011,0,54b1ee1e,17181356050612226,不错啊
405.775,普通弹幕,中,白,1559912693,0,2396f2c9,17181189406195712,贝蒂的配音吗
1314.302,普通弹幕,中,白,1559912099,0,fae421c7,17180878208761856,一方大爷
1207.222,普通弹幕,中,白,1559911984,0,fae421c7,17180817751539712,空间移动真是个bug
1122.278,普通弹幕,中,白,1559911774,0,2167ebda,17180707637952514,抓！
1099.619,普通弹幕,中,白,1559911751,0,2167ebda,17180695786422272,柯南出扬！
1015.801,普通弹幕,中,白,1559911667,0,2167ebda,17180651830116352,呱太
977.851,普通弹幕,中,白,1559911629,0,2167ebda,17180631950688256,！！
871.542,普通弹幕,中,白,1559911621,0,fae421c7,17180627404587010,都是鬼才，军火库
926.219,普通弹幕,中,白,1559911578,0,2167ebda,17180604854960128,呱太
808.727,普通弹幕,中,白,1559911460,0,2167ebda,17180543264751618,233333
792.731,普通弹幕,中,白,1559911444,0,2167ebda,17180534874570754,大橘已定
813.092,普通弹幕,中,白,1559911358,0,2167ebda,17180489473851394,？？？
212.307,普通弹幕,中,白,1559910967,0,fae421c7,17180284593111044,可以发了
1206.592,普通弹幕,中,白,1559908466,0,78466e99,17178973519216640,神威吗
28.558,普通弹幕,中,白,1559907918,0,78fbbc5e,17178686350950400,小混混快跑。
556.694,普通弹幕,中,白,1559906948,0,c71b77f5,17178177454473216,举世罕见的男生
544.521,普通弹幕,中,棕,1559906904,0,a1b09c88,17178154547806210,是友军
48.738,普通弹幕,中,白,1559906812,0,c21a4ba1,17178106129809408,哈哈
1073.6,底部弹幕,中,黄,1559904691,0,52319b2d,17176994162671616,前方注意黑子，高能高能！！
54.161,底部弹幕,中,黄,1559903843,0,be88c580,17176549436424192,波纹！
1033.336,普通弹幕,中,白,1559903472,0,87f46c0c,17176355373318146,里面有电脑配件
147.478,普通弹幕,中,黄,1559902811,0,86d80395,17176008360722434,站歌起
943.877,普通弹幕,中,白,1559901868,0,25fce9ff,17175514218758148,青蛙王子
940.097,普通弹幕,中,白,1559901854,0,25fce9ff,17175507074809856,青蛙王子
631.289,普通弹幕,中,淡蓝,1559901629,0,d3bcbfb,17175388964257792,突然发现初春是呆唯的声优！
1242.635,普通弹幕,中,白,1559901504,0,9ca6d6e,17175323317633026,emm惹到主角团了
31.358,普通弹幕,中,白,1559901461,0,dca4902c,17175300967235588,烧香吧
1173.846,普通弹幕,中,白,1559901427,0,9ca6d6e,17175283003031556,黑子人不错还特地走开防止火打到倒地的那家伙
345.664,普通弹幕,中,淡蓝,1559901346,0,d3bcbfb,17175240613298178,为何人类会发明安全裤这种东西呢？
1026.31,普通弹幕,中,白,1559901253,0,9ca6d6e,17175191766958080,注意个问题这个时候银行门已经关上了
54.574,普通弹幕,中,淡蓝,1559901135,0,d3bcbfb,17175129992724480,大型打脸现场
784.129,普通弹幕,中,白,1559900920,0,9ca6d6e,17175017420750848,这还敢说不是百合
748.929,普通弹幕,中,白,1559900874,0,9ca6d6e,17174993084350468,前方名场面
681.209,普通弹幕,中,白,1559900799,0,9ca6d6e,17174953878618112,因为这次失算的打击泪爷拿起了剧本
476.411,普通弹幕,中,白,1559900458,0,9ca6d6e,17174774719447040,没办法一方没拐杖的时候只能把威力提高到他无法反射否则别无他法
640.935,普通弹幕,中,白,1559900143,0,1058a61c,17174609823531072,VAN
31.637,普通弹幕,中,白,1559899680,0,37561ef,17174367183044610,小混混快跑！
1068.714,普通弹幕,中,白,1559898786,0,8d1829cf,17173898135076864,flag立得飞起
945.92,普通弹幕,中,白,1559898588,0,8d1829cf,17173794307178498,战术打脸
1001.834,普通弹幕,中,白,1559898278,0,7fe5717,17173631874891780,自闭了
146.693,普通弹幕,中,白,1559896361,0,5abc708e,17172627063308288,哦尼撒嘛
13.676,普通弹幕,中,白,1559896187,0,d74b1a6f,17172535656841218,温故而知新
751.424,普通弹幕,中,白,1559895087,0,90fb7916,17171959232593922,这肯定是百合番
131.715,底部弹幕,中,白,1559894459,0,e8c8f3fa,17171629724401664,还上网不？
1191.978,普通弹幕,中,白,1559893840,0,89ca6907,17171305349513220,真给玩火的人丢脸
548.667,普通弹幕,中,白,1559893378,0,d8f5f605,17171063030939648,投弹手就绪
52.458,普通弹幕,中,白,1559893299,0,89ca6907,17171021350567938,母猪的产后护理
466.085,普通弹幕,中,白,1559893274,0,d8f5f605,17171008370245632,左边有一个没穿衣服的
318.943,普通弹幕,中,白,1559893220,0,d8f5f605,17170980240097282,投弹手就绪
307.563,普通弹幕,中,白,1559893196,0,d8f5f605,17170967637262336,基洛夫空艇准备就绪
180.037,普通弹幕,中,白,1559892736,0,846fdabc,17170726371459074,清屏过了
269.758,普通弹幕,中,红,1559892487,0,cc416a2d,17170595629236224,售卖机快跑！！！！！
570.945,普通弹幕,中,白,1559891649,0,e589b384,17170156514443264,好啊
764.646,普通弹幕,中,白,1559890908,0,190858bc,17169767839825920,电脑配件上线
749.686,普通弹幕,中,白,1559890857,0,190858bc,17169741217005572,前方高能
172.062,普通弹幕,中,红,1559890723,0,553d11d2,17169670758989824,头皮发麻
1252.399,底部弹幕,中,黄,1559890320,0,d6eb54b0,17169459592560640,腹黑到家，官方吐槽哈哈哈
142.641,普通弹幕,中,白,1559886726,0,d56b66a6,17167575228612610,哦尼撒嘛×1
509.184,底部弹幕,中,白,1559885438,0,de2a203b,17166900222492676,摄晚凡桌
170.27,底部弹幕,中,红,1559883959,0,4fd77330,17166124515852288,战歌起
1311.934,普通弹幕,中,白,1559882276,0,f8047a7d,17165242180042752,安全裤。。最失败的发明。
1393.998,普通弹幕,中,白,1559878455,0,17e948ee,17163238943752192,橘了
462.078,底部弹幕,中,白,1559877684,0,e330dd60,17162834667372544,炮姐扔币，一方扔楼
980.525,普通弹幕,中,白,1559877350,0,fdc60c0,17162659573530626,233
930.849,普通弹幕,中,白,1559877270,0,87c439c9,17162618009550850,23333
23.026,普通弹幕,中,白,1559877232,0,e330dd60,17162597824987136,壮士走好
127.134,普通弹幕,中,白,1559876495,0,fdc60c0,17162211457761284,66
340.651,普通弹幕,中,白,1559875324,0,dc384076,17161597229727746,音乐好评。
26.558,底部弹幕,中,红,1559875108,0,b74d20ec,17161484363104258,混混，快跑！
16.558,普通弹幕,中,白,1559875090,0,b74d20ec,17161474821586944,小混混一路走好
1380.635,普通弹幕,中,红,1559873752,0,4e25bcc8,17160773331582980,跪地求婚
1249.569,普通弹幕,中,红,1559873596,0,4e25bcc8,17160691679494144,一路走好
1194.765,普通弹幕,中,红,1559873516,0,4e25bcc8,17160649449144322,抬头发现新世界
881.265,普通弹幕,中,红,1559873079,0,4e25bcc8,17160420565975040,军火库
104.918,普通弹幕,中,白,1559873040,0,5de77ec9,17160400007069696,黑子救了他
795.006,普通弹幕,中,红,1559872954,0,4e25bcc8,17160354930360320,黑子好可怜，为爱奋不顾身哈哈哈哈
564.422,普通弹幕,中,红,1559872595,0,4e25bcc8,17160166594052096,好啊好啊
519.87,普通弹幕,中,红,1559872496,0,4e25bcc8,17160114905546756,趴好
481.225,普通弹幕,中,黄,1559872261,0,4e25bcc8,17159991599824896,平板
468.579,普通弹幕,中,黄,1559872237,0,4e25bcc8,17159979192025092,别挡别挡别挡
324.643,普通弹幕,中,黄,1559872057,0,4e25bcc8,17159884618334210,六亲不认……
